ticket_id,customer_id,customer_email,issue_category,priority,status,subject,description,created_date,resolved_date,assigned_agent,resolution_summary,customer_satisfaction,product_affected,tags
TECH-2024-001,CUST-5847,john.smith@email.com,technical_support,high,resolved,Software installation failure,"TechOffice Suite installation fails at 75% with error code 1603. Customer has Windows 11 Pro with 16GB RAM and 500GB free space. Previous antivirus software was uninstalled.",2024-01-15 09:23:00,2024-01-15 14:45:00,Sarah Johnson,"Resolved by running installer as administrator and clearing Windows Installer cache. Customer successfully installed software after reboot.",5,TechOffice Suite,"installation,error_1603,windows11,resolved"
TECH-2024-002,CUST-3921,maria.garcia@company.com,billing,medium,resolved,Duplicate charge on credit card,"Customer was charged twice for annual subscription renewal. Credit card shows two charges of $299.99 on the same day. Customer has receipt for only one transaction.",2024-01-16 11:15:00,2024-01-16 16:30:00,Mike Chen,"Confirmed duplicate charge in billing system. Issued refund for second charge ($299.99) which will appear in 3-5 business days. Added note to prevent future duplicates.",4,TechDesign Pro,"billing,duplicate_charge,refund,subscription"
TECH-2024-003,CUST-7234,david.wilson@tech.org,technical_support,critical,resolved,System crashes during file export,"TechDesign Pro crashes consistently when exporting large files (>500MB). Error occurs with both PDF and PNG export formats. Customer needs to deliver project by end of day.",2024-01-17 08:45:00,2024-01-17 12:20:00,Lisa Rodriguez,"Issue caused by insufficient virtual memory. Increased page file size to 16GB and updated graphics drivers. Customer successfully exported files after changes.",5,TechDesign Pro,"crashes,export,memory,graphics_drivers"
TECH-2024-004,CUST-1567,admin@startup.io,account_management,low,resolved,Need to add additional user licenses,"Business account needs 5 additional user licenses for new team members. Current plan allows 10 users and they need to expand to 15 total users.",2024-01-18 14:20:00,2024-01-19 10:15:00,Tom Anderson,"Upgraded customer to Enterprise plan with 25 user licenses. Prorated billing for remaining subscription period. Sent welcome emails to new users with setup instructions.",4,TechOffice Suite,"license_upgrade,business_account,user_management"
TECH-2024-005,CUST-8901,susan.lee@design.com,technical_support,high,resolved,Cannot activate software license,"Customer purchased TechDesign Pro but license activation fails with 'Invalid License Key' error. License key was purchased directly from website yesterday.",2024-01-19 16:30:00,2024-01-20 09:45:00,Sarah Johnson,"License key was incorrectly generated by payment system. Issued new valid license key and customer successfully activated software. Added automated validation to prevent future occurrences.",5,TechDesign Pro,"license_activation,invalid_key,payment_system"
TECH-2024-006,CUST-4455,robert.brown@corp.com,shipping,medium,resolved,Package delivered to wrong address,"Order #ORD-789456 was delivered to 123 Main St instead of customer's address at 456 Oak Ave. Tracking shows delivered but customer never received package.",2024-01-20 13:10:00,2024-01-22 11:30:00,Jennifer Walsh,"Contacted shipping carrier and confirmed misdelivery. Carrier retrieved package from wrong address and delivered to correct location. Customer received package in good condition.",4,TechMouse Pro,"shipping,wrong_address,carrier_error,redelivery"
TECH-2024-007,CUST-6789,emma.taylor@university.edu,technical_support,medium,resolved,Slow performance after update,"TechOffice Suite became very slow after recent update. Documents take 30+ seconds to open and typing has noticeable lag. Issue affects all applications in suite.",2024-01-21 10:45:00,2024-01-23 15:20:00,Mike Chen,"Performance issue caused by conflicting add-ins from previous version. Disabled legacy add-ins and cleared application cache. Performance returned to normal levels.",4,TechOffice Suite,"performance,slow,update,add-ins"
TECH-2024-008,CUST-2134,alex.johnson@freelance.net,billing,high,resolved,Subscription auto-renewed incorrectly,"Customer cancelled subscription on Dec 15th but was still charged for January renewal. Cancellation confirmation email was received but billing continued.",2024-01-22 09:30:00,2024-01-22 17:45:00,Lisa Rodriguez,"Found system glitch that delayed cancellation processing. Cancelled subscription and issued full refund for January charge ($99.99). Fixed system bug to prevent future occurrences.",3,TechOffice Suite,"auto_renewal,cancellation,system_bug,refund"
TECH-2024-009,CUST-9876,chris.martinez@design.studio,technical_support,critical,resolved,Data corruption in project files,"Multiple project files showing corruption errors in TechDesign Pro. Files worked yesterday but now display 'File Format Error' when opening. Customer has deadline tomorrow.",2024-01-23 07:15:00,2024-01-23 19:30:00,Tom Anderson,"Corruption caused by forced shutdown during auto-save. Recovered files from automatic backup folder and restored 90% of work. Implemented additional backup procedures for customer.",4,TechDesign Pro,"data_corruption,file_recovery,backup,auto-save"
TECH-2024-010,CUST-5432,nancy.white@consulting.biz,account_management,low,resolved,Change primary email address,"Customer needs to change account email from personal to business email. New email is nancy.white@consulting.biz and should receive all future communications.",2024-01-24 12:00:00,2024-01-24 14:30:00,Jennifer Walsh,"Updated primary email address and sent verification to new email. Customer confirmed change and all account notifications now go to business email. Updated billing contact as well.",5,Account Management,"email_change,business_email,account_update"
